_Puffer_Puffer_Warmwasserbereich_Warmwasser Aus Fühler;/120/10601/0/0/13932
_Puffer_Puffer_Warmwasserbereich_Soll Temperatur;/120/10601/0/0/12293
_Puffer_Puffer_Warmwasserbereich_Einschaltdifferenz;/120/10601/0/0/12133
_Puffer_Puffer_Warmwasserbereich_Laden Taste;/120/10601/0/0/12134
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Schaltzustand;/120/10601/12235/0/1109
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Temperatur;/120/10601/12235/0/1110
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Montag_Absenktemperatur;/120/10601/12235/0/1111
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Montag_Zeitfenster 1;/120/10601/12235/0/1082
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Montag_Zeitfenster 2;/120/10601/12235/0/1083
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Montag_Zeitfenster 3;/120/10601/12235/0/1084
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Dienstag_Absenktemperatur;/120/10601/12235/0/1112
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Dienstag_Zeitfenster 1;/120/10601/12235/0/1086
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Dienstag_Zeitfenster 2;/120/10601/12235/0/1087
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Dienstag_Zeitfenster 3;/120/10601/12235/0/1088
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Mittwoch_Absenktemperatur;/120/10601/12235/0/1113
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Mittwoch_Zeitfenster 1;/120/10601/12235/0/1090
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Mittwoch_Zeitfenster 2;/120/10601/12235/0/1091
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Mittwoch_Zeitfenster 3;/120/10601/12235/0/1092
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Donnerstag_Absenktemperatur;/120/10601/12235/0/1114
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Donnerstag_Zeitfenster 1;/120/10601/12235/0/1094
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Donnerstag_Zeitfenster 2;/120/10601/12235/0/1095
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Donnerstag_Zeitfenster 3;/120/10601/12235/0/1096
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Freitag_Absenktemperatur;/120/10601/12235/0/1115
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Freitag_Zeitfenster 1;/120/10601/12235/0/1098
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Freitag_Zeitfenster 2;/120/10601/12235/0/1099
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Freitag_Zeitfenster 3;/120/10601/12235/0/1100
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Samstag_Absenktemperatur;/120/10601/12235/0/1116
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Samstag_Zeitfenster 1;/120/10601/12235/0/1102
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Samstag_Zeitfenster 2;/120/10601/12235/0/1103
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Samstag_Zeitfenster 3;/120/10601/12235/0/1104
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Sonntag_Absenktemperatur;/120/10601/12235/0/1117
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Sonntag_Zeitfenster 1;/120/10601/12235/0/1106
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Sonntag_Zeitfenster 2;/120/10601/12235/0/1107
_Puffer_Puffer_Warmwasserbereich_Ladezeiten_Sonntag_Zeitfenster 3;/120/10601/12235/0/1108
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Schaltzustand;/120/10601/12175/0/1109
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Temperatur;/120/10601/12175/0/1110
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Montag_Absenktemperatur;/120/10601/12175/0/1111
_Puffer_Puffer_Warmwasserbereich_Zirkulation_Zirkulationszeiten_Montag_Zeitfenster 1;/120/10601/12175/0/1082
